ID_Usuario,ID_Filme,Nota,Genero
1,Filme_40,4,Sci-Fi
1,Filme_38,3,Ação
1,Filme_4,1,Terror
1,Filme_47,2,Terror
1,Filme_42,4,Sci-Fi
1,Filme_2,2,Comédia
1,Filme_26,1,Comédia
1,Filme_11,4,Comédia
1,Filme_10,4,Sci-Fi
1,Filme_44,1,Drama
1,Filme_49,5,Sci-Fi
1,Filme_27,4,Drama
1,Filme_6,2,Comédia
1,Filme_23,1,Ação
1,Filme_0,5,Sci-Fi
1,Filme_18,3,Ação
2,Filme_48,3,Drama
2,Filme_31,4,Sci-Fi
2,Filme_42,2,Sci-Fi
2,Filme_7,3,Comédia
2,Filme_24,4,Ação
2,Filme_17,4,Terror
2,Filme_11,3,Comédia
2,Filme_22,2,Sci-Fi
2,Filme_49,1,Sci-Fi
2,Filme_30,1,Comédia
2,Filme_1,4,Terror
2,Filme_5,3,Drama
3,Filme_42,3,Sci-Fi
3,Filme_48,3,Drama
3,Filme_15,4,Drama
3,Filme_17,4,Terror
3,Filme_49,1,Sci-Fi
3,Filme_22,1,Sci-Fi
3,Filme_46,4,Drama
3,Filme_25,3,Comédia
3,Filme_19,2,Sci-Fi
3,Filme_44,4,Drama
3,Filme_10,1,Sci-Fi
3,Filme_13,3,Drama
3,Filme_3,4,Terror
4,Filme_33,4,Ação
4,Filme_21,2,Terror
4,Filme_13,4,Drama
4,Filme_46,4,Drama
4,Filme_7,2,Comédia
4,Filme_20,3,Drama
4,Filme_5,4,Drama
4,Filme_3,2,Terror
4,Filme_41,1,Ação
4,Filme_14,4,Sci-Fi
4,Filme_44,1,Drama
4,Filme_12,1,Terror
4,Filme_8,2,Comédia
5,Filme_8,3,Comédia
5,Filme_24,3,Ação
5,Filme_23,4,Ação
5,Filme_38,1,Ação
5,Filme_9,4,Terror
5,Filme_10,3,Sci-Fi
5,Filme_31,1,Sci-Fi
5,Filme_36,1,Comédia
5,Filme_17,4,Terror
5,Filme_28,3,Sci-Fi
5,Filme_26,1,Comédia
6,Filme_9,2,Terror
6,Filme_42,1,Sci-Fi
6,Filme_33,4,Ação
6,Filme_34,5,Comédia
6,Filme_4,2,Terror
6,Filme_10,3,Sci-Fi
6,Filme_20,2,Drama
6,Filme_14,3,Sci-Fi
6,Filme_5,4,Drama
6,Filme_36,4,Comédia
6,Filme_48,1,Drama
7,Filme_48,1,Drama
7,Filme_45,2,Ação
7,Filme_42,2,Sci-Fi
7,Filme_32,2,Sci-Fi
7,Filme_19,4,Sci-Fi
7,Filme_17,4,Terror
7,Filme_37,5,Terror
7,Filme_13,4,Drama
7,Filme_10,2,Sci-Fi
7,Filme_9,5,Terror
7,Filme_2,4,Comédia
7,Filme_23,1,Ação
7,Filme_47,4,Terror
7,Filme_4,5,Terror
8,Filme_16,2,Sci-Fi
8,Filme_21,2,Terror
8,Filme_5,2,Drama
8,Filme_38,5,Ação
8,Filme_8,3,Comédia
8,Filme_45,4,Ação
8,Filme_6,3,Comédia
8,Filme_46,4,Drama
8,Filme_14,2,Sci-Fi
8,Filme_44,1,Drama
8,Filme_34,2,Comédia
8,Filme_13,1,Drama
8,Filme_12,3,Terror
8,Filme_20,1,Drama
9,Filme_25,1,Comédia
9,Filme_1,3,Terror
9,Filme_5,4,Drama
9,Filme_7,1,Comédia
9,Filme_14,4,Sci-Fi
9,Filme_0,4,Sci-Fi
9,Filme_32,4,Sci-Fi
9,Filme_13,2,Drama
9,Filme_10,5,Sci-Fi
9,Filme_4,3,Terror
9,Filme_47,2,Terror
9,Filme_30,3,Comédia
9,Filme_26,2,Comédia
9,Filme_49,4,Sci-Fi
9,Filme_6,3,Comédia
9,Filme_40,4,Sci-Fi
9,Filme_37,1,Terror
9,Filme_29,4,Sci-Fi
10,Filme_23,3,Ação
10,Filme_14,4,Sci-Fi
10,Filme_13,1,Drama
10,Filme_10,1,Sci-Fi
10,Filme_36,5,Comédia
10,Filme_29,1,Sci-Fi
10,Filme_32,2,Sci-Fi
10,Filme_17,1,Terror
10,Filme_40,2,Sci-Fi
10,Filme_33,2,Ação
10,Filme_27,4,Drama
11,Filme_37,4,Terror
11,Filme_21,4,Terror
11,Filme_12,4,Terror
11,Filme_6,3,Comédia
11,Filme_29,4,Sci-Fi
11,Filme_38,1,Ação
11,Filme_39,2,Drama
11,Filme_32,1,Sci-Fi
11,Filme_1,5,Terror
11,Filme_27,4,Drama
11,Filme_45,3,Ação
11,Filme_26,1,Comédia
11,Filme_24,3,Ação
11,Filme_42,1,Sci-Fi
12,Filme_25,4,Comédia
12,Filme_35,1,Terror
12,Filme_19,2,Sci-Fi
12,Filme_28,2,Sci-Fi
12,Filme_10,3,Sci-Fi
12,Filme_49,1,Sci-Fi
12,Filme_43,4,Drama
12,Filme_48,5,Drama
12,Filme_44,4,Drama
12,Filme_23,3,Ação
12,Filme_15,4,Drama
12,Filme_31,3,Sci-Fi
12,Filme_6,1,Comédia
12,Filme_17,1,Terror
12,Filme_14,2,Sci-Fi
12,Filme_11,2,Comédia
12,Filme_1,3,Terror
12,Filme_7,3,Comédia
13,Filme_18,2,Ação
13,Filme_22,4,Sci-Fi
13,Filme_13,2,Drama
13,Filme_44,3,Drama
13,Filme_11,3,Comédia
13,Filme_2,1,Comédia
13,Filme_0,4,Sci-Fi
13,Filme_31,5,Sci-Fi
13,Filme_21,4,Terror
13,Filme_34,2,Comédia
13,Filme_7,1,Comédia
14,Filme_44,1,Drama
14,Filme_36,1,Comédia
14,Filme_28,3,Sci-Fi
14,Filme_3,5,Terror
14,Filme_48,2,Drama
14,Filme_34,2,Comédia
14,Filme_15,4,Drama
14,Filme_47,4,Terror
14,Filme_17,4,Terror
14,Filme_5,1,Drama
14,Filme_9,5,Terror
14,Filme_41,1,Ação
14,Filme_46,4,Drama
14,Filme_10,2,Sci-Fi
14,Filme_20,3,Drama
15,Filme_13,4,Drama
15,Filme_34,2,Comédia
